"id"	"name"	"danceability"	"energy"	"key"	"loudness"	"mode"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"type"	"uri"	"track_href"	"analysis_url"	"duration_ms"	"time_signature"	"popularity"
"16"	"0zVMzJ37VQNFUNvdxxat2E"	"Flawless Remix"	0.639	0.659	8	-7.273	1	0.215	0.241	8.33e-06	0.484	0.457	136.801	"audio_features"	"spotify:track:0zVMzJ37VQNFUNvdxxat2E"	"https://api.spotify.com/v1/tracks/0zVMzJ37VQNFUNvdxxat2E"	"https://api.spotify.com/v1/audio-analysis/0zVMzJ37VQNFUNvdxxat2E"	234413	4	69
"17"	"0FZmAvivvifvtN3pZScbw1"	"Drunk in Love Remix"	0.514	0.763	10	-3.58	0	0.052	0.161	0	0.118	0.474	139.748	"audio_features"	"spotify:track:0FZmAvivvifvtN3pZScbw1"	"https://api.spotify.com/v1/tracks/0FZmAvivvifvtN3pZScbw1"	"https://api.spotify.com/v1/audio-analysis/0FZmAvivvifvtN3pZScbw1"	395987	4	62
"18"	"2Z9Yid1RueNo2sHS9x4gdh"	"Ring Off"	0.732	0.763	0	-6.732	1	0.0729	0.0273	0	0.33	0.709	98.011	"audio_features"	"spotify:track:2Z9Yid1RueNo2sHS9x4gdh"	"https://api.spotify.com/v1/tracks/2Z9Yid1RueNo2sHS9x4gdh"	"https://api.spotify.com/v1/audio-analysis/2Z9Yid1RueNo2sHS9x4gdh"	180187	4	56
"19"	"0GjDYSp1bNyjggwPadwlyf"	"Blow Remix"	0.872	0.445	2	-7.631	0	0.0934	0.27	0.0012	0.345	0.763	120.024	"audio_features"	"spotify:track:0GjDYSp1bNyjggwPadwlyf"	"https://api.spotify.com/v1/tracks/0GjDYSp1bNyjggwPadwlyf"	"https://api.spotify.com/v1/audio-analysis/0GjDYSp1bNyjggwPadwlyf"	309747	4	51
"20"	"7jpSvCrFev9EBb5RSmoRTa"	"Standing on the Sun Remix"	0.354	0.808	0	-6.477	1	0.176	0.023	2.42e-05	0.259	0.397	195.956	"audio_features"	"spotify:track:7jpSvCrFev9EBb5RSmoRTa"	"https://api.spotify.com/v1/tracks/7jpSvCrFev9EBb5RSmoRTa"	"https://api.spotify.com/v1/audio-analysis/7jpSvCrFev9EBb5RSmoRTa"	273480	4	55
"21"	"3sCXW53g6Hy7QbjMgEMmb3"	"Pretty Hurts"	0.512	0.625	11	-6.764	1	0.0508	0.00308	0.000164	0.346	0.201	129.935	"audio_features"	"spotify:track:3sCXW53g6Hy7QbjMgEMmb3"	"https://api.spotify.com/v1/tracks/3sCXW53g6Hy7QbjMgEMmb3"	"https://api.spotify.com/v1/audio-analysis/3sCXW53g6Hy7QbjMgEMmb3"	257653	4	27
"22"	"38i54QBMW6MTrADD4yL7Gs"	"Haunted"	0.468	0.545	1	-9.419	0	0.0736	0.113	0.00653	0.507	0.296	122.278	"audio_features"	"spotify:track:38i54QBMW6MTrADD4yL7Gs"	"https://api.spotify.com/v1/tracks/38i54QBMW6MTrADD4yL7Gs"	"https://api.spotify.com/v1/audio-analysis/38i54QBMW6MTrADD4yL7Gs"	369040	4	27
"23"	"5yP6T2IC0ItqdQSxNq9lej"	"Drunk in Love"	0.591	0.609	5	-7.132	0	0.0471	0.00925	0.00159	0.217	0.392	140.006	"audio_features"	"spotify:track:5yP6T2IC0ItqdQSxNq9lej"	"https://api.spotify.com/v1/tracks/5yP6T2IC0ItqdQSxNq9lej"	"https://api.spotify.com/v1/audio-analysis/5yP6T2IC0ItqdQSxNq9lej"	323480	4	34
"24"	"1FcivAwiVyXKhVEsave5Qz"	"Blow"	0.875	0.434	0	-7.684	1	0.091	0.242	0.00146	0.266	0.776	120.068	"audio_features"	"spotify:track:1FcivAwiVyXKhVEsave5Qz"	"https://api.spotify.com/v1/tracks/1FcivAwiVyXKhVEsave5Qz"	"https://api.spotify.com/v1/audio-analysis/1FcivAwiVyXKhVEsave5Qz"	309720	4	25
"25"	"19hneDhzyuDW22LD9iycf3"	"No Angel"	0.571	0.466	9	-9.153	0	0.173	0.0424	0.00262	0.125	0.512	111.58	"audio_features"	"spotify:track:19hneDhzyuDW22LD9iycf3"	"https://api.spotify.com/v1/tracks/19hneDhzyuDW22LD9iycf3"	"https://api.spotify.com/v1/audio-analysis/19hneDhzyuDW22LD9iycf3"	228693	1	21
"26"	"4wXMexNGv2KJKrnoeDo23W"	"Partition"	0.447	0.439	11	-11.522	0	0.236	0.0275	0.0679	0.31	0.174	87.953	"audio_features"	"spotify:track:4wXMexNGv2KJKrnoeDo23W"	"https://api.spotify.com/v1/tracks/4wXMexNGv2KJKrnoeDo23W"	"https://api.spotify.com/v1/audio-analysis/4wXMexNGv2KJKrnoeDo23W"	319467	4	36
"27"	"4l2Z6G33ltLoP8HOGgwRFW"	"Jealous"	0.59	0.541	8	-10.087	1	0.151	0.122	0.00414	0.0878	0.237	133.929	"audio_features"	"spotify:track:4l2Z6G33ltLoP8HOGgwRFW"	"https://api.spotify.com/v1/tracks/4l2Z6G33ltLoP8HOGgwRFW"	"https://api.spotify.com/v1/audio-analysis/4l2Z6G33ltLoP8HOGgwRFW"	184013	4	24
